lat,lon,nghd,tract
30.18,-97.927,None,
30.18,-97.926,None,
30.18,-97.925,None,
30.18,-97.924,None,
30.18,-97.923,None,
30.18,-97.922,None,
30.18,-97.921,None,
30.18,-97.92,None,
30.18,-97.919,None,
30.18,-97.918,None,
30.18,-97.917,None,
30.18,-97.916,None,
30.18,-97.915,None,
30.18,-97.914,None,
30.18,-97.913,None,
30.18,-97.912,None,
30.18,-97.911,None,
30.18,-97.91,None,
30.18,-97.909,None,
30.18,-97.908,None,
30.18,-97.907,None,
30.18,-97.906,None,
30.18,-97.905,None,
30.18,-97.904,None,
30.18,-97.903,None,
30.18,-97.902,None,
30.18,-97.901,None,
30.18,-97.9,None,
30.18,-97.899,None,
30.18,-97.898,None,
30.18,-97.897,None,
30.18,-97.896,None,
30.18,-97.895,None,
30.18,-97.894,None,
30.18,-97.893,None,
30.18,-97.892,None,
30.18,-97.891,None,
30.18,-97.89,None,
30.18,-97.889,None,
30.18,-97.888,None,
30.18,-97.887,None,
30.18,-97.886,None,
30.18,-97.885,None,
30.18,-97.884,None,
30.18,-97.883,None,
30.18,-97.882,None,
30.18,-97.881,None,
30.18,-97.88,None,
30.18,-97.879,None,
30.18,-97.878,None,
30.18,-97.877,None,
30.18,-97.876,None,
30.18,-97.875,None,
30.18,-97.874,None,
30.18,-97.873,None,
30.18,-97.872,None,
30.18,-97.871,None,
30.18,-97.87,None,
30.18,-97.869,None,
30.18,-97.868,None,
30.18,-97.867,None,
30.18,-97.866,None,
30.18,-97.865,None,
30.18,-97.864,None,
30.18,-97.863,None,
30.18,-97.862,None,
30.18,-97.861,None,
30.18,-97.86,None,
30.18,-97.859,None,
30.18,-97.858,None,
30.18,-97.857,None,
30.18,-97.856,None,
30.18,-97.855,None,
30.18,-97.854,None,
30.18,-97.853,None,
30.18,-97.852,None,
30.18,-97.851,None,
30.18,-97.85,None,
30.18,-97.849,None,
30.18,-97.848,None,
30.18,-97.847,None,
30.18,-97.846,None,
30.18,-97.845,None,
30.18,-97.844,None,
30.18,-97.843,None,
30.18,-97.842,None,
30.18,-97.841,None,
30.18,-97.84,None,
30.18,-97.839,None,
30.18,-97.838,None,
30.18,-97.837,None,
30.18,-97.836,None,
30.18,-97.835,None,
30.18,-97.834,None,
30.18,-97.833,None,
30.18,-97.832,None,
30.18,-97.831,None,
30.18,-97.83,None,
30.18,-97.829,None,
30.18,-97.828,None,
30.18,-97.827,None,
30.18,-97.826,None,
30.18,-97.825,None,
30.18,-97.824,None,
30.18,-97.823,None,
30.18,-97.822,None,
30.18,-97.821,None,
30.18,-97.82,None,
30.18,-97.819,None,
30.18,-97.818,None,
30.18,-97.817,None,
30.18,-97.816,None,
30.18,-97.815,None,
30.18,-97.814,None,
30.18,-97.813,None,
30.18,-97.812,None,
30.18,-97.811,None,
30.18,-97.81,None,
30.18,-97.809,None,
30.18,-97.808,None,
30.18,-97.807,None,
30.18,-97.806,None,
30.18,-97.805,None,
30.18,-97.804,None,
30.18,-97.803,None,
30.18,-97.802,None,
30.18,-97.801,None,
30.18,-97.8,None,
30.18,-97.799,None,
30.18,-97.798,None,
30.18,-97.797,None,
30.18,-97.796,None,
30.18,-97.795,None,
30.18,-97.794,None,
30.18,-97.793,None,
30.18,-97.792,None,
30.18,-97.791,None,
30.18,-97.79,None,
30.18,-97.789,None,
30.18,-97.788,None,
30.18,-97.787,None,
30.18,-97.786,None,
30.18,-97.785,None,
30.18,-97.784,None,
30.18,-97.783,None,
30.18,-97.782,None,
30.18,-97.781,None,
30.18,-97.78,None,
30.18,-97.779,None,
30.18,-97.778,None,
30.18,-97.777,None,
30.18,-97.776,None,
30.18,-97.775,None,
30.18,-97.774,None,
30.18,-97.773,None,
30.18,-97.772,None,
30.18,-97.771,None,
30.18,-97.77,None,
30.18,-97.769,None,
30.18,-97.768,None,
30.18,-97.767,None,
30.18,-97.766,None,
30.18,-97.765,None,
30.18,-97.764,None,
30.18,-97.763,None,
30.18,-97.762,None,
30.18,-97.761,None,
30.18,-97.76,None,
30.18,-97.759,None,
30.18,-97.758,None,
30.18,-97.757,None,
30.18,-97.756,None,
30.18,-97.755,None,
30.18,-97.754,None,
30.18,-97.753,None,
30.18,-97.752,None,
30.18,-97.751,None,
30.18,-97.75,None,
30.18,-97.749,None,
30.18,-97.748,None,
30.18,-97.747,None,
30.18,-97.746,None,
30.18,-97.745,None,
30.18,-97.744,None,
30.18,-97.743,None,
30.18,-97.742,None,
30.18,-97.741,None,
30.18,-97.74,None,
30.18,-97.739,None,
30.18,-97.738,None,
30.18,-97.737,None,
30.18,-97.736,None,
30.18,-97.735,None,
30.18,-97.734,None,
30.18,-97.733,None,
30.18,-97.732,None,
30.18,-97.731,None,
30.18,-97.73,None,
30.18,-97.729,None,
30.18,-97.728,None,
30.18,-97.727,None,
30.18,-97.726,None,
30.18,-97.725,None,
30.18,-97.724,None,
30.18,-97.723,None,
30.18,-97.722,None,
30.18,-97.721,None,
30.18,-97.72,None,
30.18,-97.719,None,
30.18,-97.718,None,
30.18,-97.717,None,
30.18,-97.716,None,
30.18,-97.715,None,
30.18,-97.714,None,
30.18,-97.713,None,
30.18,-97.712,None,
30.18,-97.711,None,
30.18,-97.71,None,
30.18,-97.709,None,
30.18,-97.708,None,
30.18,-97.707,None,
30.18,-97.706,None,
30.18,-97.705,None,
30.18,-97.704,None,
30.18,-97.703,None,
30.18,-97.702,None,
30.18,-97.701,None,
30.18,-97.7,None,
30.18,-97.699,None,
30.18,-97.698,None,
30.18,-97.697,None,
30.18,-97.696,None,
30.18,-97.695,None,
