Rank,Name,Walk Score,Transit Score,Bike Score,Population
1,Downtown,90,68,93,7412
2,West University,87,63,91,15358
3,UT,84,72,94,8338
4,Central East Austin,82,53,93,4372
5,North University,81,63,97,4747
6,East Cesar Chavez,80,49,91,3278
7,Old West Austin,78,49,90,4424
8,Triangle State,78,56,91,1706
9,Bouldin Creek,77,54,87,5487
10,Holly,77,47,91,3990
12,Hancock,75,59,95,5001
11,Hyde Park,75,55,97,6547
13,Dawson,72,48,75,2634
14,Rosedale,72,44,78,3351
15,Chestnut,69,52,93,1860
16,Brentwood,68,49,83,7409
17,North Loop,66,51,92,4169
21,Crestview,65,49,73,3987
20,Govalle,65,46,83,4102
19,Rosewood,65,49,85,4193
22,Upper Boggy Creek,65,52,93,5193
18,Zilker,65,47,88,5772
23,Highland,64,53,85,4057
25,South River City,63,51,80,6490
24,Wooten,63,50,67,5345
26,Riverside,61,52,66,12008
27,St. Johns,58,46,57,9478
29,St. Edwards,56,47,66,5290
28,Westgate,56,48,51,3883
30,North Shoal Creek,55,45,65,3485
33,Allandale,54,42,72,9130
31,Old Enfield,54,39,74,1180
32,Sweetbriar,54,47,58,6068
34,West Congress,53,47,60,2623
36,Gateway,52,40,50,1121
35,Windsor Park,52,42,63,14662
40,Georgian Acres,51,49,54,8610
38,North Austin,51,46,56,27911
37,RMMA,51,43,81,2488
39,Windsor Road,51,42,66,2978
41,Garrison Park,48,37,58,10723
42,Coronado Hills,47,43,45,3598
43,Galindo,46,46,69,3511
44,MLK,46,45,65,4863
45,North Burnet,45,39,49,4931
46,North Lamar,45,45,48,6502
47,South Lamar,45,46,67,8136
48,South Manchaca,44,41,59,6465
49,West Austin,44,32,62,10514
50,University Hills,43,40,39,4662
51,Windsor Hills,38,35,39,7102
52,East Congress,37,41,44,3069
53,Franklin Park,37,38,44,16574
55,Heritage Hills,35,40,50,6089
54,Montopolis,35,44,52,10521
56,McKinney,34,31,39,4517
57,Pleasant Valley,34,52,54,12676
58,Parker Lane,33,46,51,9599
60,Barton Hills,31,33,44,8019
59,Pecan Springs-Springdale,31,40,43,4875
61,Johnston Terrace,28,38,40,1850
62,MLK-183,27,40,48,7799
63,Village at Western Oaks,25,15,55,6567
64,Northwest Hills - Far West,24,18,25,4545
65,East Oak Hill,22,19,38,13354
66,Circle C Ranch,19,8,40,7391
67,West Oak Hill,13,19,27,16911
68,Southeast Austin,10,26,36,2322
