lat,lon,nghd,tract
41.645,-87.94,None,
41.645,-87.939,None,
41.645,-87.938,None,
41.645,-87.937,None,
41.645,-87.936,None,
41.645,-87.935,None,
41.645,-87.934,None,
41.645,-87.933,None,
41.645,-87.932,None,
41.645,-87.931,None,
41.645,-87.93,None,
41.645,-87.929,None,
41.645,-87.928,None,
41.645,-87.927,None,
41.645,-87.926,None,
41.645,-87.925,None,
41.645,-87.924,None,
41.645,-87.923,None,
41.645,-87.922,None,
41.645,-87.921,None,
41.645,-87.92,None,
41.645,-87.919,None,
41.645,-87.918,None,
41.645,-87.917,None,
41.645,-87.916,None,
41.645,-87.915,None,
41.645,-87.914,None,
41.645,-87.913,None,
41.645,-87.912,None,
41.645,-87.911,None,
41.645,-87.91,None,
41.645,-87.909,None,
41.645,-87.908,None,
41.645,-87.907,None,
41.645,-87.906,None,
41.645,-87.905,None,
41.645,-87.904,None,
41.645,-87.903,None,
41.645,-87.902,None,
41.645,-87.901,None,
41.645,-87.9,None,
41.645,-87.899,None,
41.645,-87.898,None,
41.645,-87.897,None,
41.645,-87.896,None,
41.645,-87.895,None,
41.645,-87.894,None,
41.645,-87.893,None,
41.645,-87.892,None,
41.645,-87.891,None,
41.645,-87.89,None,
41.645,-87.889,None,
41.645,-87.888,None,
41.645,-87.887,None,
41.645,-87.886,None,
41.645,-87.885,None,
41.645,-87.884,None,
41.645,-87.883,None,
41.645,-87.882,None,
41.645,-87.881,None,
41.645,-87.88,None,
41.645,-87.879,None,
41.645,-87.878,None,
41.645,-87.877,None,
41.645,-87.876,None,
41.645,-87.875,None,
41.645,-87.874,None,
41.645,-87.873,None,
41.645,-87.872,None,
41.645,-87.871,None,
41.645,-87.87,None,
41.645,-87.869,None,
41.645,-87.868,None,
41.645,-87.867,None,
41.645,-87.866,None,
41.645,-87.865,None,
41.645,-87.864,None,
41.645,-87.863,None,
41.645,-87.862,None,
41.645,-87.861,None,
41.645,-87.86,None,
41.645,-87.859,None,
41.645,-87.858,None,
41.645,-87.857,None,
41.645,-87.856,None,
41.645,-87.855,None,
41.645,-87.854,None,
41.645,-87.853,None,
41.645,-87.852,None,
41.645,-87.851,None,
41.645,-87.85,None,
41.645,-87.849,None,
41.645,-87.848,None,
41.645,-87.847,None,
41.645,-87.846,None,
41.645,-87.845,None,
41.645,-87.844,None,
41.645,-87.843,None,
41.645,-87.842,None,
41.645,-87.841,None,
41.645,-87.84,None,
41.645,-87.839,None,
41.645,-87.838,None,
41.645,-87.837,None,
41.645,-87.836,None,
41.645,-87.835,None,
41.645,-87.834,None,
41.645,-87.833,None,
41.645,-87.832,None,
41.645,-87.831,None,
41.645,-87.83,None,
41.645,-87.829,None,
41.645,-87.828,None,
41.645,-87.827,None,
41.645,-87.826,None,
41.645,-87.825,None,
41.645,-87.824,None,
41.645,-87.823,None,
41.645,-87.822,None,
41.645,-87.821,None,
41.645,-87.82,None,
41.645,-87.819,None,
41.645,-87.818,None,
41.645,-87.817,None,
41.645,-87.816,None,
41.645,-87.815,None,
41.645,-87.814,None,
41.645,-87.813,None,
41.645,-87.812,None,
41.645,-87.811,None,
41.645,-87.81,None,
41.645,-87.809,None,
41.645,-87.808,None,
41.645,-87.807,None,
41.645,-87.806,None,
41.645,-87.805,None,
41.645,-87.804,None,
41.645,-87.803,None,
41.645,-87.802,None,
41.645,-87.801,None,
41.645,-87.8,None,
41.645,-87.799,None,
41.645,-87.798,None,
41.645,-87.797,None,
41.645,-87.796,None,
41.645,-87.795,None,
41.645,-87.794,None,
41.645,-87.793,None,
41.645,-87.792,None,
41.645,-87.791,None,
41.645,-87.79,None,
41.645,-87.789,None,
41.645,-87.788,None,
41.645,-87.787,None,
41.645,-87.786,None,
41.645,-87.785,None,
41.645,-87.784,None,
41.645,-87.783,None,
41.645,-87.782,None,
41.645,-87.781,None,
41.645,-87.78,None,
41.645,-87.779,None,
41.645,-87.778,None,
41.645,-87.777,None,
41.645,-87.776,None,
41.645,-87.775,None,
41.645,-87.774,None,
41.645,-87.773,None,
41.645,-87.772,None,
41.645,-87.771,None,
41.645,-87.77,None,
41.645,-87.769,None,
41.645,-87.768,None,
41.645,-87.767,None,
41.645,-87.766,None,
41.645,-87.765,None,
41.645,-87.764,None,
41.645,-87.763,None,
41.645,-87.762,None,
41.645,-87.761,None,
41.645,-87.76,None,
41.645,-87.759,None,
41.645,-87.758,None,
41.645,-87.757,None,
41.645,-87.756,None,
41.645,-87.755,None,
41.645,-87.754,None,
41.645,-87.753,None,
41.645,-87.752,None,
41.645,-87.751,None,
41.645,-87.75,None,
41.645,-87.749,None,
41.645,-87.748,None,
41.645,-87.747,None,
41.645,-87.746,None,
41.645,-87.745,None,
41.645,-87.744,None,
41.645,-87.743,None,
41.645,-87.742,None,
41.645,-87.741,None,
41.645,-87.74,None,
41.645,-87.739,None,
41.645,-87.738,None,
41.645,-87.737,None,
41.645,-87.736,None,
41.645,-87.735,None,
41.645,-87.734,None,
41.645,-87.733,None,
41.645,-87.732,None,
41.645,-87.731,None,
41.645,-87.73,None,
41.645,-87.729,None,
41.645,-87.728,None,
41.645,-87.727,None,
41.645,-87.726,None,
41.645,-87.725,None,
41.645,-87.724,None,
41.645,-87.723,None,
41.645,-87.722,None,
41.645,-87.721,None,
41.645,-87.72,None,
41.645,-87.719,None,
41.645,-87.718,None,
41.645,-87.717,None,
41.645,-87.716,None,
41.645,-87.715,None,
41.645,-87.714,None,
41.645,-87.713,None,
41.645,-87.712,None,
41.645,-87.711,None,
41.645,-87.71,None,
41.645,-87.709,None,
41.645,-87.708,None,
41.645,-87.707,None,
41.645,-87.706,None,
41.645,-87.705,None,
41.645,-87.704,None,
41.645,-87.703,None,
41.645,-87.702,None,
41.645,-87.701,None,
41.645,-87.7,None,
41.645,-87.699,None,
41.645,-87.698,None,
41.645,-87.697,None,
41.645,-87.696,None,
41.645,-87.695,None,
41.645,-87.694,None,
41.645,-87.693,None,
41.645,-87.692,None,
41.645,-87.691,None,
41.645,-87.69,None,
41.645,-87.689,None,
41.645,-87.688,None,
41.645,-87.687,None,
41.645,-87.686,None,
41.645,-87.685,None,
41.645,-87.684,None,
41.645,-87.683,None,
41.645,-87.682,None,
41.645,-87.681,None,
41.645,-87.68,None,
41.645,-87.679,None,
41.645,-87.678,None,
41.645,-87.677,None,
41.645,-87.676,None,
41.645,-87.675,None,
41.645,-87.674,None,
41.645,-87.673,None,
41.645,-87.672,None,
41.645,-87.671,None,
41.645,-87.67,None,
41.645,-87.669,None,
41.645,-87.668,None,
41.645,-87.667,None,
41.645,-87.666,None,
41.645,-87.665,None,
41.645,-87.664,None,
41.645,-87.663,None,
41.645,-87.662,None,
41.645,-87.661,None,
41.645,-87.66,None,
41.645,-87.659,None,
41.645,-87.658,None,
41.645,-87.657,None,
41.645,-87.656,None,
41.645,-87.655,None,
41.645,-87.654,None,
41.645,-87.653,None,
41.645,-87.652,None,
41.645,-87.651,None,
41.645,-87.65,None,
41.645,-87.649,None,
41.645,-87.648,None,
41.645,-87.647,None,
41.645,-87.646,None,
41.645,-87.645,None,
41.645,-87.644,None,
41.645,-87.643,None,
41.645,-87.642,None,
41.645,-87.641,None,
41.645,-87.64,None,
41.645,-87.639,None,
41.645,-87.638,None,
41.645,-87.637,None,
41.645,-87.636,None,
41.645,-87.635,None,
41.645,-87.634,None,
41.645,-87.633,None,
41.645,-87.632,None,
41.645,-87.631,None,
41.645,-87.63,None,
41.645,-87.629,None,
41.645,-87.628,None,
41.645,-87.627,None,
41.645,-87.626,None,
41.645,-87.625,None,
41.645,-87.624,None,
41.645,-87.623,None,
41.645,-87.622,None,
41.645,-87.621,None,
41.645,-87.62,None,
41.645,-87.619,None,
41.645,-87.618,None,
41.645,-87.617,Riverdale,
