lat,lon,nghd,tract
42.255,-83.288,None,
42.255,-83.287,None,
42.255,-83.286,None,
42.255,-83.285,None,
42.255,-83.284,None,
42.255,-83.283,None,
42.255,-83.282,None,
42.255,-83.281,None,
42.255,-83.28,None,
42.255,-83.279,None,
42.255,-83.278,None,
42.255,-83.277,None,
42.255,-83.276,None,
42.255,-83.275,None,
42.255,-83.274,None,
42.255,-83.273,None,
42.255,-83.272,None,
42.255,-83.271,None,
42.255,-83.27,None,
42.255,-83.269,None,
42.255,-83.268,None,
42.255,-83.267,None,
42.255,-83.266,None,
42.255,-83.265,None,
42.255,-83.264,None,
42.255,-83.263,None,
42.255,-83.262,None,
42.255,-83.261,None,
42.255,-83.26,None,
42.255,-83.259,None,
42.255,-83.258,None,
42.255,-83.257,None,
42.255,-83.256,None,
42.255,-83.255,None,
42.255,-83.254,None,
42.255,-83.253,None,
42.255,-83.252,None,
42.255,-83.251,None,
42.255,-83.25,None,
42.255,-83.249,None,
42.255,-83.248,None,
42.255,-83.247,None,
42.255,-83.246,None,
42.255,-83.245,None,
42.255,-83.244,None,
42.255,-83.243,None,
42.255,-83.242,None,
42.255,-83.241,None,
42.255,-83.24,None,
42.255,-83.239,None,
42.255,-83.238,None,
42.255,-83.237,None,
42.255,-83.236,None,
42.255,-83.235,None,
42.255,-83.234,None,
42.255,-83.233,None,
42.255,-83.232,None,
42.255,-83.231,None,
42.255,-83.23,None,
42.255,-83.229,None,
42.255,-83.228,None,
42.255,-83.227,None,
42.255,-83.226,None,
42.255,-83.225,None,
42.255,-83.224,None,
42.255,-83.223,None,
42.255,-83.222,None,
42.255,-83.221,None,
42.255,-83.22,None,
42.255,-83.219,None,
42.255,-83.218,None,
42.255,-83.217,None,
42.255,-83.216,None,
42.255,-83.215,None,
42.255,-83.214,None,
42.255,-83.213,None,
42.255,-83.212,None,
42.255,-83.211,None,
42.255,-83.21,None,
42.255,-83.209,None,
42.255,-83.208,None,
42.255,-83.207,None,
42.255,-83.206,None,
42.255,-83.205,None,
42.255,-83.204,None,
42.255,-83.203,None,
42.255,-83.202,None,
42.255,-83.201,None,
42.255,-83.2,None,
42.255,-83.199,None,
42.255,-83.198,None,
42.255,-83.197,None,
42.255,-83.196,None,
42.255,-83.195,None,
42.255,-83.194,None,
42.255,-83.193,None,
