Neighborhood,Area in Sq Mi,All Venues,Food,Nightlife Spot,Arts and Entertainment,Shop & Service,Outdoors & Recreation
CHESTNUT,0.28441,46,6,3,3,10,2
BARTON HILLS,3.19972,432,47,5,9,55,92
CRESTVIEW,1.02269,269,34,4,8,107,25
SWEETBRIAR,0.83949,197,41,4,4,53,20
NORTH UNIVERSITY,0.36823,94,20,2,3,27,7
NORTH BURNET,3.24911,968,117,33,12,332,60
WEST AUSTIN,3.18702,245,21,4,12,49,46
OLD WEST AUSTIN,0.92552,429,35,8,21,120,59
DOWNTOWN,1.74595,2629,418,263,150,305,184
HYDE PARK,0.76114,174,10,2,8,30,18
NORTH AUSTIN,3.07589,425,63,3,6,190,18
GEORGIAN ACRES,1.05019,132,26,5,3,37,10
PECAN SPRINGS-SPRINGDALE,0.67792,55,3,2,1,12,6
GOVALLE,1.58345,289,34,10,25,88,17
WINDSOR PARK,2.39119,277,44,3,9,108,12
EAST CESAR CHAVEZ,0.68384,385,96,37,24,77,22
WEST CONGRESS,0.02532,149,17,4,5,72,7
ROSEWOOD,0.89661,79,8,0,8,15,12
TRIANGLE STATE,0.45588,151,15,1,1,44,16
MONTOPOLIS,2.22853,137,18,1,2,34,17
ROSEDALE,1.32702,316,51,3,1,72,26
GALINDO,0.684,138,10,5,5,18,22
GATEWAY,0.73607,232,33,3,2,96,19
HOLLY,0.71444,267,48,18,24,60,35
UPPER BOGGY CREEK,0.70771,177,33,8,3,56,16
SOUTHEAST AUSTIN,2.82225,130,18,2,1,14,11
WINDSOR HILLS,1.05625,79,11,0,0,33,3
HERITAGE HILLS,1.37071,136,18,0,1,37,11
FRANKLIN PARK,2.19731,136,15,3,0,21,18
ALLANDALE,2.03957,359,58,6,8,149,21
GARRISON PARK,1.20782,225,25,2,3,70,19
NORTH SHOAL CREEK,1.02874,371,50,4,10,122,20
NORTH LAMAR,0.98373,192,38,7,2,91,1
SOUTH LAMAR,1.21808,336,39,9,9,119,20
WESTGATE,0.84194,149,22,4,6,56,6
MLK,0.30424,106,18,3,7,31,9
HANCOCK,0.84879,223,25,1,3,45,16
EAST OAK HILL,7.78891,496,62,7,4,143,82
DAWSON,0.49721,178,29,4,3,64,18
UNIVERSITY HILLS,1.13872,63,10,0,2,30,6
JOHNSTON TERRACE,0.96824,74,3,1,10,15,8
WINDSOR ROAD,0.85438,159,11,1,0,34,16
PARKER LANE,1.77273,208,30,4,2,35,25
WOOTEN,0.05425,243,30,3,8,115,12
RIVERSIDE,1.14442,353,78,13,14,90,42
ZILKER,1.16412,478,119,15,27,135,39
ST. EDWARDS,1.13895,292,25,4,12,72,34
WEST OAK HILL,9.64983,294,36,4,7,81,45
CENTRAL EAST AUSTIN,0.34016,276,57,18,25,46,26
BRENTWOOD,0.01293,420,52,6,12,153,29
HIGHLAND,0.28031,411,44,7,17,131,22
UT,0.68923,588,51,3,31,15,44
BOULDIN CREEK,1.19705,558,135,14,42,127,63
CORONADO HILLS,0.21871,43,6,0,3,12,3
RMMA,1.1752,207,45,1,8,50,19
MLK-183,1.23467,111,10,3,0,16,12
SOUTH RIVER CITY,0.9551,288,36,8,15,72,38
EAST CONGRESS,1.21064,227,25,6,9,106,14
NORTH LOOP,0.96348,275,44,9,4,96,17
PLEASANT VALLEY,2.29161,191,12,0,5,21,34
ST. JOHNS,1.19646,239,34,8,4,46,17
WEST UNIVERSITY,0.07454,658,132,17,10,114,25
SOUTH MANCHACA,0.07432,240,25,5,5,52,12
MCKINNEY,2.67833,264,27,6,4,62,17
OLD ENFIELD,0.32713,29,4,1,2,2,8
austin,1,292.26153846153846,42.41538461538462,9.846153846153847,10.523076923076923,73.6923076923077,25.384615384615387
