Neighborhood,Area in Sq Mi,All Venues,Food,Nightlife Spot,Arts and Entertainment,Shop & Service,Outdoors & Recreation
Clearing,2.55391,427,54,36,4,75,11
New City,4.83299,691,112,49,10,165,61
Kenwood,1.04356,301,31,2,8,44,42
Grand Crossing,3.54848,527,80,29,19,143,27
Jefferson Park,2.3285,534,67,28,28,130,36
Washington Heights,2.85869,301,39,11,6,95,22
Chicago Lawn,3.52794,445,104,15,10,165,17
"Little Italy, UIC",2.56212,1520,206,72,52,143,112
South Chicago,3.3481,31,4,1,3,10,1
Sheffield & DePaul,0.37628,787,85,98,35,135,51
Ashburn,4.86266,538,84,26,12,163,31
South Shore,2.93675,332,43,5,9,120,19
Brighton Park,2.7243,522,88,19,15,179,22
Archer Heights,2.00745,336,61,14,3,93,13
West Town,2.10018,1917,187,172,159,383,157
United Center,1.16736,667,58,47,69,94,35
Grand Boulevard,1.74069,449,50,17,21,98,35
Chinatown,0.38138,247,83,9,4,57,17
Mount Greenwood,2.71331,356,49,29,6,81,30
Lincoln Park,2.4194,2730,312,230,119,643,322
River North,1.39154,3241,446,214,145,505,265
Burnside,0.6101,37,1,3,0,3,2
Bucktown,1.03382,991,107,96,56,238,87
North Center,2.04799,1854,186,186,116,430,149
West Pullman,3.56695,262,29,15,9,62,25
Galewood,1.05024,146,24,7,2,39,6
Humboldt Park,4.48739,1318,179,79,93,291,120
Dunning,3.71868,583,98,46,15,181,44
Mckinley Park,1.41546,350,55,19,14,107,19
East Village,0.25307,452,70,60,23,112,45
Gage Park,2.19993,288,69,4,4,94,12
Andersonville,0.34404,255,40,23,9,75,25
Auburn Gresham,3.77152,498,78,26,8,146,26
Woodlawn,1.45436,296,22,11,5,49,27
Hyde Park,1.39489,967,139,26,43,152,85
Hermosa,1.17029,241,44,15,14,60,10
Armour Square,0.61531,252,39,23,43,42,21
Roseland,4.82145,485,78,10,7,118,25
Ukrainian Village,0.3813,471,78,59,29,105,23
Lake View,2.74818,5162,513,547,251,899,471
West Loop,1.9005,2903,400,141,134,466,202
Wrigleyville,0.2616,482,56,81,65,67,52
Avondale,1.9847,1170,162,105,70,307,77
Chatham,2.95503,566,109,16,12,205,25
West Lawn,2.9549,421,86,9,7,145,15
Rogers Park,1.83997,1576,184,85,79,284,168
Washington Park,1.52106,197,20,10,15,37,16
Bridgeport,2.09244,825,125,57,60,216,66
Belmont Cragin,3.91626,869,194,30,18,308,26
Jackson Park,0.84519,101,5,1,42,2,32
Uptown,2.33661,2539,272,179,92,409,314
Garfield Ridge,4.23198,956,119,52,13,175,42
Loop,1.13018,4742,823,148,166,698,331
Lincoln Square,2.56121,1402,212,110,59,324,103
Boystown,0.12082,467,51,69,23,97,36
Montclare,0.98842,199,31,13,7,62,14
West Elsdon,1.17423,193,38,5,1,68,9
Grant Park,0.32215,269,34,10,56,12,66
Pullman,2.11796,203,15,4,11,30,17
West Ridge,3.53312,1167,237,41,20,330,79
Calumet Heights,1.75268,85,13,4,3,30,4
Magnificent Mile,0.03167,307,39,4,9,117,20
Millenium Park,0.09962,77,5,3,13,6,20
Greektown,0.05925,155,38,13,6,27,9
Norwood Park,4.37785,768,106,49,21,185,68
Avalon Park,1.25109,219,51,2,2,89,6
Morgan Park,3.29817,423,67,19,9,137,32
Lower West Side,2.92736,1292,239,68,139,341,82
Garfield Park,3.22981,591,76,32,27,105,53
Englewood,6.23166,657,87,41,6,145,35
North Lawndale,3.21228,393,49,15,20,68,23
Beverly,3.18694,410,60,27,17,126,36
Austin,6.10376,1126,183,43,23,308,63
Museum Campus,0.55699,264,24,5,115,10,46
Printers Row,0.07761,173,16,11,8,26,28
Old Town,0.71245,982,130,94,54,177,98
Edgewater,1.39507,1656,181,107,80,300,156
North Park,2.52305,624,84,12,18,109,63
Douglas,1.65138,581,52,12,19,84,63
Edison Park,1.13561,256,49,19,10,65,31
Irving Park,3.21667,1559,241,121,60,387,109
Rush & Division,0.12526,573,77,38,14,145,44
Portage Park,3.9556,1093,155,71,50,301,88
Near South Side,1.22952,994,107,55,58,173,120
Albany Park,1.92193,824,187,49,20,195,55
Streeterville,0.64232,1705,247,82,92,244,173
Hegewisch,5.23968,4,0,0,0,0,3
Little Village,4.5947,768,183,21,30,181,38
Gold Coast,0.25722,449,53,35,13,83,58
"Sauganash,Forest Glen",3.19941,407,46,15,14,93,51
Logan Square,2.55782,1833,275,199,127,391,137
Fuller Park,0.71493,133,17,5,1,33,10
Wicker Park,0.96392,1404,192,160,95,363,109
Riverdale,3.5319,59,4,1,0,3,14
O'Hare,13.34764,2232,202,47,13,123,69
South Deering,10.90529,91,13,0,0,33,6
Oakland,0.60714,113,2,1,11,13,33
Chicago,1,807.5670103092783,111.49484536082474,51.79381443298969,37.371134020618555,166.82474226804123,64.85567010309278
