neighborhood,population,Part I crimes,Part II crimes,part1_per_1000_ppl,part2_per_1000_ppl,total_per_1000_ppl
BRAESWOOD,20899,811,,38.80568448,,
CENTRAL SOUTHWEST,61084,2352,,38.50435466,,
ASTRODOME AREA,17304,1014,,58.59916782,,
GREATER THIRD WARD,13264,1128,,85.04221954,,
INDEPENDENCE HEIGHTS,13395,665,,49.64539007,,
NORTHSHORE,29758,1810,,60.82398011,,
MEDICAL CENTER AREA,2910,789,,271.1340206,,
SOUTH PARK,21322,1014,,47.5565144,,
MINNETEX,3502,479,,136.7789834,,
BRIAR FOREST,39139,1569,,40.08789187,,
ALIEF,102183,4334,,42.41410019,,
GREATER EASTWOOD,11233,353,,31.42526484,,
GULFTON,43879,1657,,37.76293899,,
PARK PLACE,9420,380,,40.33970276,,
SOUTH MAIN,6977,658,,94.3098753,,
SECOND WARD,13465,405,,30.07797995,,
FORT BEND HOUSTON,34710,1025,,29.5303947,,
HIDDEN VALLEY,4599,199,,43.27027615,,
SOUTH BELT / ELLINGTON,82810,3190,,38.52191764,,
SETTEGAST,3059,161,,52.63157895,,
CLEAR LAKE,64135,1599,,24.93178452,,
SPRING BRANCH NORTH,20098,724,,36.02348492,,
SPRING BRANCH WEST,29682,1767,,59.53102891,,
GREATER HEIGHTS,40156,2109,,52.52017133,,
FOURTH WARD,4113,398,,96.7663506,,
SUNNYSIDE,20995,1606,,76.49440343,,
CARVERDALE,3632,281,,77.36784141,,
WESTCHASE,28995,1529,,52.73322987,,
EDGEBROOK AREA,20453,760,,37.15836308,,
EAST HOUSTON,19943,1267,,63.53106353,,
GOLFCREST / BELLFORT / REVEILLE,25487,3592,,140.9345941,,
MUSEUM PARK,6172,382,,61.89241737,,
EL DORADO / OATES PRAIRIE,3145,227,,72.17806041,,
GREATER HOBBY AREA,46522,1738,,37.35866902,,
GREATER GREENSPOINT,41741,3689,,88.37833305,,
DENVER HARBOR / PORT HOUSTON,17533,1442,,82.2449096,,
WILLOWBROOK,7082,1076,,151.9344818,,
WASHINGTON AVENUE COALITION / MEMORIAL PARK,26514,2549,,96.13788942,,
ELDRIDGE / WEST OAKS,55128,2253,,40.86852416,,
SPRING BRANCH CENTRAL,28043,929,,33.12769675,,
MID WEST,47868,3183,,66.49536225,,
MACGREGOR,16729,1094,,65.39542112,,
MEMORIAL,33533,2157,,64.32469508,,
TRINITY / HOUSTON GARDENS,19090,1510,,79.09900471,,
WESTWOOD,18540,1467,,79.12621359,,
KINGWOOD AREA,58376,763,,13.07043991,,
PLEASANTVILLE AREA,2996,197,,65.75433912,,
NEARTOWN - MONTROSE,29175,2207,,75.64695801,,
BRAEBURN,19418,834,,42.94984035,,
BRAYS OAKS,63016,2544,,40.3706995,,
GULFGATE RIVERVIEW / PINE VALLEY,12598,795,,63.1052548,,
DOWNTOWN,16724,2627,,157.079646,,
AFTON OAKS / RIVER OAKS AREA,8454,701,,82.91932813,,
MEYERLAND AREA,20317,1059,,52.12383718,,
GREENWAY / UPPER KIRBY AREA,18892,2179,,115.3398264,,
IAH / AIRPORT AREA,10526,1198,,113.8134144,,
NORTHSIDE/NORTHLINE,58232,3691,,63.38439346,,
FONDREN GARDENS,2888,124,,42.93628809,,
GREATER FIFTH WARD,17904,1440,,80.42895442,,
WESTBRANCH,5055,88,,17.40850643,,
MAGNOLIA PARK,17683,645,,36.47571113,,
PECAN PARK,16963,436,,25.70300065,,
CENTRAL NORTHWEST,14349,1939,,135.131368,,
EASTEX - JENSEN AREA,27438,1807,,65.85756979,,
LAWNDALE / WAYSIDE,12638,401,,31.72970407,,
FAIRBANKS / NORTHWEST CROSSING,14349,1687,,117.5691686,,
CLINTON PARK TRI-COMMUNITY,2308,138,,59.79202773,,
GREATER INWOOD,33800,1187,,35.1183432,,
UNIVERSITY PLACE,13964,1037,,74.262389,,
KASHMERE GARDENS,8180,879,,107.4572127,,
LAKE HOUSTON,10138,182,,17.95225883,,
GREATER OST / SOUTH UNION,20134,1689,,83.88795073,,
SPRING BRANCH EAST,25641,1443,,56.27705628,,
HUNTERWOOD,2482,40,,16.11603546,,
SOUTH ACRES / CRESTMONT PARK,18955,892,,47.05882353,,
SHARPSTOWN,76186,3717,,48.78849132,,
LAZYBROOK / TIMBERGROVE,12733,655,,51.4411372,,
MEADOWBROOK / ALLENDALE,22897,792,,34.58968424,,
WESTBURY,19568,841,,42.97833197,,
EAST LITTLE YORK / HOMESTEAD,19871,1342,,67.53560465,,
NEAR NORTHSIDE,29352,1319,,44.93731262,,
MIDTOWN,8364,2186,,261.3582018,,
LANGWOOD,8106,200,,24.67308167,,
ACRES HOME,24338,1067,,43.84090722,,
WILLOW MEADOWS / WILLOWBEND AREA,12766,451,,35.32821557,,
GREATER UPTOWN,51484,3600,,69.92463678,,
HARRISBURG / MANCHESTER,3163,186,,58.80493203,,
ADDICKS PARK TEN,4656,412,,88.48797251,,
Houston,2057318,114938,,55.86788236,,

