Rank,Name,Walk Score,Transit Score,Bike Score,Population
1,Little Italy,100,100,87,"3,749"
2,Flatiron District,100,100,84,"4,579"
3,Chinatown,100,100,87,"13,724"
4,NoMad,100,100,82,"8,137"
5,Bowery,100,100,89,"16,702"
6,Koreatown,100,100,81,"1,910"
7,Union Square,100,100,85,"7,810"
8,NoHo,100,100,87,"3,123"
9,NoLita,100,100,88,"6,464"
10,Gramercy Park,100,100,84,"18,635"
11,Financial District,100,100,80,"27,033"
12,Tribeca,99,100,84,"17,068"
13,Garment District,99,100,82,"5,963"
14,SoHo,99,100,87,"11,276"
15,Greenwich Village,99,100,86,"34,531"
16,Theater District,99,100,80,"13,170"
17,Midtown East,99,100,77,"49,976"
18,West Village,99,100,87,"34,359"
19,Kips Bay,99,100,80,"39,246"
20,Murray Hill,99,100,78,"22,249"
21,Civic Center,98,100,85,"5,279"
22,Boerum Hill,98,100,90,"22,518"
23,Hell's Kitchen,98,100,80,"51,840"
24,Chelsea,98,100,87,"52,598"
25,Upper East Side,98,99,73,"208,013"
26,Two Bridges,98,99,87,"28,930"
27,DUMBO,98,100,82,"3,006"
28,Cobble Hill,97,98,90,"8,605"
29,Prospect Heights,97,100,86,"21,765"
30,Fort Greene,97,100,89,"20,297"
31,Brooklyn Heights,97,100,82,"20,560"
32,Fordham Heights,97,99,73,"49,896"
33,Greenpoint,97,68,82,"34,569"
34,East Village,97,96,90,"60,375"
35,Battery Park City,97,100,80,"12,258"
36,Clinton Hill,97,98,90,"25,887"
37,Carroll Gardens,97,85,90,"18,514"
38,Park Slope,97,96,85,"61,508"
39,Williamsburg,96,92,84,"138,526"
40,Inwood,96,88,69,"38,367"
41,Upper West Side,96,99,80,"208,776"
42,Gowanus,96,94,88,"5,661"
43,Washington Heights,96,97,70,"158,951"
44,Downtown Brooklyn,96,100,88,"11,077"
45,Central Harlem,96,100,75,"111,094"
46,Mount Hope,96,94,70,"30,381"
47,Longwood,96,92,72,"20,337"
48,West Harlem,96,99,66,"107,403"
49,East Tremont,96,94,67,"16,991"
50,Belmont,96,92,61,"23,890"
51,South Bronx,96,95,72,"74,207"
52,Sunset Park,96,79,63,"100,989"
53,Woodstock,96,94,66,"19,048"
54,East Harlem,96,99,81,"118,829"
55,Ridgewood,95,85,57,"64,765"
56,Borough Park,95,76,59,"115,327"
57,Concourse Village,95,98,69,"29,727"
58,Lower East Side,95,92,91,"38,641"
59,Foxhurst,95,95,73,"19,644"
60,Mount Eden,95,92,71,"24,005"
61,Elmhurst,95,96,55,"101,918"
62,Bushwick,95,90,69,"113,629"
63,Long Island City,95,86,69,"71,414"
64,Crown Heights,95,99,78,"125,818"
65,Concourse,95,93,72,"54,406"
66,Fordham Manor,95,100,64,"49,585"
67,Parkchester,94,85,53,"40,412"
