Neighborhood,Area in Sq Mi,All Venues,Food,Nightlife Spot,Arts and Entertainment,Shop & Service,Outdoors & Recreation
Arlington,0.47,78.7,6.4,17.0,0.0,8.5,10.6
Lincoln-Lemington-Belmar,0.28,560.7,103.6,10.7,3.6,185.7,17.9
Swisshelm Park,0.48,31.3,0.0,4.2,0.0,4.2,8.3
Brookline,2.082,232.9,25.5,21.6,14.9,47.6,22.1
West Oakland,0.215,832.6,74.4,9.3,0.0,32.6,46.5
Fairywood,0.969,81.5,6.2,4.1,0.0,10.3,7.2
Ridgemont,0.369,70.5,5.4,10.8,0.0,16.3,13.6
Carrick,1.673,172.7,17.3,24.5,4.8,37.7,13.7
Spring Garden,0.275,83.6,10.9,18.2,0.0,3.6,7.3
Glen Hazel,0.456,11.0,0.0,0.0,2.2,0.0,2.2
Crafton Heights,0.754,94.2,4.0,14.6,2.7,5.3,14.6
South Shore,0.212,886.8,132.1,75.5,66.0,127.4,103.8
Shadyside,0.921,914.2,86.9,69.5,27.1,164.0,63.0
Morningside,0.382,267.0,31.4,20.9,18.3,49.7,34.0
North Oakland,0.499,1324.6,170.3,40.1,92.2,96.2,66.1
Sheraden,0.89,125.8,11.2,5.6,3.4,18.0,14.6
Bloomfield,0.702,1065.5,159.5,96.9,67.0,192.3,88.3
Regent Square,0.192,197.9,5.2,26.0,15.6,15.6,67.7
Chartiers City,0.132,22.7,0.0,0.0,0.0,7.6,0.0
Manchester,0.279,197.1,7.2,14.3,14.3,32.3,25.1
Westwood,0.692,138.7,14.5,15.9,2.9,31.8,17.3
Perry North,1.212,80.0,3.3,6.6,1.7,5.8,19.0
Summer Hill,0.439,95.7,2.3,6.8,4.6,11.4,11.4
North Shore,0.303,1079.2,165.0,132.0,181.5,33.0,174.9
Allentown,0.295,291.5,40.7,16.9,13.6,44.1,50.8
Knoxville,0.302,139.1,9.9,9.9,0.0,23.2,3.3
Beechview,1.46,163.0,16.4,13.0,8.2,18.5,12.3
Duquesne Heights,0.623,195.8,12.8,27.3,4.8,20.9,25.7
Homewood South,0.398,188.4,15.1,17.6,10.1,17.6,15.1
Central Oakland,0.281,1462.6,263.3,149.5,46.3,213.5,56.9
Allegheny West,0.141,524.8,99.3,21.3,35.5,49.6,56.7
California-Kirkbride,0.217,188.9,13.8,13.8,4.6,27.6,4.6
South Side Slopes,0.716,290.5,11.2,48.9,19.6,11.2,75.4
Highland Park,1.163,153.1,18.1,12.0,31.0,15.5,28.4
Hays,1.75,20.0,1.7,1.1,0.0,2.3,2.3
Perry South,0.905,103.9,7.7,5.5,1.1,5.5,19.9
