Neighborhood,Area in Sq Mi,All Venues,Food,Nightlife Spot,Arts and Entertainment,Shop & Service,Outdoors & Recreation
Inner Richmond,0.74542,825,193,47,28,244,30
Japantown,0.12091,373,63,19,15,73,27
Glen Park,0.66967,151,25,5,10,33,18
Western Addition,0.58448,1043,118,68,51,133,80
Outer Richmond,1.79401,693,129,30,28,152,66
Inner Sunset,1.42628,622,95,35,21,137,73
Financial District/South Beach,1.12577,3053,674,101,83,467,167
Oceanview/Merced/Ingleside,1.05524,393,49,24,13,74,52
Presidio Heights,0.50323,486,35,17,13,133,31
Bernal Heights,1.07991,811,138,52,42,175,85
Golden Gate Park,1.72773,585,49,22,115,23,230
Lakeshore,2.886,834,105,23,67,127,95
Portola,0.82728,268,41,13,9,61,27
Potrero Hill,1.13936,901,92,51,54,138,92
Treasure Island,0.89049,113,19,3,17,8,24
Pacific Heights,0.79668,1227,99,95,54,224,96
Hayes Valley,0.49129,1108,179,97,77,238,75
Excelsior,1.39475,395,80,21,11,94,23
Visitacion Valley,0.61294,142,18,7,8,27,11
Chinatown,0.22505,891,255,51,26,236,37
Marina,1.02509,1539,190,138,59,402,121
Sunset/Parkside,4.23623,1807,289,111,69,420,163
McLaren Park,0.61682,20,0,0,1,1,6
Nob Hill,0.40758,1193,189,93,58,235,80
South of Market,0.8866,2906,360,178,162,532,123
Mission Bay,0.81454,1152,154,35,92,125,126
West of Twin Peaks,3.06405,300,33,11,9,42,38
Noe Valley,0.97794,760,98,56,38,173,93
North Beach,0.50022,980,167,66,69,155,92
Castro/Upper Market,0.85875,1274,160,101,66,236,156
Haight Ashbury,0.55775,810,100,71,33,220,59
Lincoln Park,0.39548,8,0,0,0,0,2
Bayview Hunters Point,5.18263,1157,132,32,72,292,94
Seacliff,0.2133,7,0,0,0,1,5
Lone Mountain/USF,0.58032,664,61,39,23,104,46
Presidio,2.36829,243,18,6,21,8,101
Mission,1.88704,3966,697,244,270,951,214
Tenderloin,0.39353,1411,331,108,106,226,57
Russian Hill,0.4949,842,97,75,35,183,72
Outer Mission,1.00601,388,78,17,11,92,29
Twin Peaks,0.66387,198,11,16,9,11,36
San Francisco,1,891.1951219512196,137.09756097560975,53.1219512195122,47.4390243902439,175.7560975609756,74.4390243902439
